loan_id,borrower_id,loan_amount,tenure_months,interest_rate,status,default_label
1,2703,60598.28,24,11.05,Active,1
2,4875,82494.71,24,10.62,Active,0
3,4533,75268.93,18,12.16,Active,0
4,120,172705.26,12,17.25,Closed,1
5,3036,277764.26,6,8.47,Active,0
6,377,317552.69,18,15.2,Closed,1
7,835,226082.51,36,16.89,Closed,0
8,1666,315451.2,6,17.11,Closed,0
9,3174,110623.25,18,8.97,Closed,0
10,4632,81538.4,12,16.25,Closed,0
11,3539,230623.38,24,13.69,Closed,0
12,160,251368.95,6,13.31,Active,0
13,3396,222560.98,6,8.31,Active,0
14,3504,75644.47,18,16.89,Active,0
15,390,305816.35,12,10.71,Closed,0
16,2483,254754.45,18,9.32,Active,0
17,3223,235139.23,24,10.74,Closed,0
18,3457,235574.13,36,17.02,Closed,0
19,3066,267854.06,12,11.01,Active,0
20,3096,168109.78,12,15.87,Active,1
21,958,265750.9,18,17.1,Closed,0
22,3914,257147.13,12,11.15,Closed,0
23,1461,50724.28,12,17.39,Active,1
24,1024,185429.22,36,8.08,Active,1
25,1766,113809.33,18,12.4,Active,0
26,2119,126483.37,24,11.07,Closed,0
27,2487,295795.03,36,10.89,Closed,0
28,3051,267765.93,36,10.23,Closed,0
29,2673,144263.22,12,8.96,Active,0
30,4378,199110.44,12,11.13,Closed,0
31,671,169381.68,12,10.87,Closed,0
32,1788,150166.35,6,9.66,Active,1
33,28,24477.56,12,11.94,Active,0
34,749,166709.53,6,17.29,Closed,1
35,1941,237687.99,12,14.33,Closed,1
36,4053,62661.6,12,12.26,Closed,0
37,4392,186827.65,36,15.32,Closed,1
38,4553,105183.75,18,15.12,Closed,0
39,4540,24828.52,18,9.71,Closed,0
40,1396,281186.82,18,9.4,Closed,0
41,831,283674.52,24,9.16,Closed,1
42,4008,126184.8,18,14.15,Closed,0
43,546,320056.72,6,11.36,Active,0
44,4335,102121.6,6,11.63,Active,0
45,2117,289043.48,24,12.54,Closed,0
46,3864,275376.87,12,15.65,Active,0
47,2922,84844.94,12,10.98,Closed,0
48,919,73247.85,24,9.19,Closed,0
49,4679,79030.56,24,9.99,Closed,0
50,4941,124650.25,12,8.37,Active,1
51,4001,274082.13,36,13.34,Active,1
52,1600,25432.86,6,13.3,Closed,1
53,682,281668.04,6,14.88,Active,0
54,4270,138583.02,36,17.8,Closed,0
55,307,256245.55,36,12.74,Active,1
56,4562,93344.9,6,11.53,Active,1
57,3932,100478.94,36,12.75,Active,0
58,2337,184518.76,36,12.35,Closed,0
59,513,145610.41,18,9.82,Closed,0
60,2505,277933.11,24,11.27,Active,0
61,2683,16400.59,12,12.83,Active,0
62,832,124627.09,36,13.65,Active,0
63,2919,43890.29,24,14.86,Active,0
64,2397,78757.02,18,16.69,Closed,1
65,718,297411.01,24,12.43,Closed,1
66,1332,179607.08,36,16.09,Active,0
67,2543,165000.58,12,10.1,Closed,0
68,1119,307105.72,36,14.05,Closed,0
69,3081,136456.6,24,10.62,Closed,0
70,432,96136.84,36,13.88,Active,0
71,303,225384.78,6,8.48,Closed,0
72,3930,94882.95,12,13.77,Active,0
73,2789,125428.46,12,8.95,Active,0
74,4427,54178.66,36,12.1,Closed,1
75,2356,96467.89,12,14.51,Closed,0
76,2269,280842.98,36,15.76,Closed,0
77,3751,221825.27,36,11.71,Active,0
78,4597,271798.05,18,16.24,Closed,0
79,2692,12802.73,36,11.49,Active,0
80,4247,136303.26,6,16.43,Active,0
81,1468,49995.52,12,8.71,Closed,1
82,4414,119830.69,36,14.6,Active,0
83,1128,162938.93,18,13.29,Active,1
84,4985,279538.77,24,16.99,Closed,0
85,118,312918.34,18,15.51,Closed,0
86,2152,96842.71,18,16.11,Closed,0
87,1689,175990.34,24,12.96,Active,0
88,4286,267852.68,24,17.82,Active,1
89,680,217413.66,12,15.26,Active,0
90,1720,261740.46,36,13.03,Closed,0
91,4394,137114.83,6,15.75,Active,1
92,4996,246851.69,24,16.34,Active,1
93,2254,199367.51,18,13.76,Active,0
94,4693,69977.07,12,16.33,Closed,1
95,3834,255717.45,36,8.47,Closed,0
96,1211,186844.97,36,16.61,Closed,0
97,4794,142859.49,12,10.21,Closed,0
98,733,285316.66,18,15.45,Active,0
99,3807,155966.37,6,15.69,Closed,0
100,1599,82401.69,12,14.73,Active,1
101,996,253575.52,6,13.76,Active,0
102,86,121283.62,12,17.59,Active,0
103,4699,185472.24,24,11.07,Closed,0
104,2864,191213.28,6,10.43,Closed,0
105,347,192765.97,36,8.59,Closed,1
106,4383,309243.04,6,16.56,Active,0
107,350,194192.04,18,11.28,Active,0
108,2453,77490.68,12,15.15,Active,0
109,3281,274081.35,6,17.06,Closed,0
110,1685,256504.85,24,15.58,Active,0
111,3604,230058.15,6,10.17,Closed,1
112,4176,110661.45,36,12.01,Active,1
113,1713,60862.74,18,10.42,Active,0
114,59,284832.01,18,13.45,Closed,1
115,741,149044.75,18,14.33,Closed,1
116,3690,176563.42,12,8.86,Closed,1
117,3161,28392.13,24,10.39,Closed,1
