borrower_id,date,amount,txn_type,channel
415,2024-11-22,4041.08,credit,UPI
1820,2023-11-13,2943.86,credit,UPI
952,2025-09-20,6004.0,debit,UPI
4027,2025-01-04,1586.27,debit,Bank Transfer
4679,2024-02-08,4464.32,debit,Wallet
1379,2024-09-20,107.26,credit,Wallet
1761,2025-08-14,2327.2,debit,Bank Transfer
2359,2024-01-01,3245.73,credit,UPI
2733,2025-08-04,7193.45,credit,Bank Transfer
2137,2024-11-06,6376.22,debit,Bank Transfer
2905,2024-11-29,3892.13,credit,Cash
1878,2025-03-15,6458.74,credit,UPI
3229,2024-10-05,6775.25,credit,Cash
3746,2024-01-01,4678.67,credit,Bank Transfer
4223,2023-12-25,2231.24,credit,Wallet
1850,2024-07-11,4584.18,credit,Wallet
1000,2025-08-26,4804.22,debit,Wallet
1829,2024-08-23,2535.09,debit,Bank Transfer
2411,2025-05-23,5734.09,credit,Bank Transfer
3562,2025-10-01,5559.62,debit,Cash
4449,2024-01-08,5890.09,debit,Cash
431,2024-12-06,5557.85,credit,Cash
1634,2024-09-25,6459.69,credit,Cash
1039,2025-06-16,4641.34,debit,UPI
2558,2024-09-02,5403.57,debit,Cash
1152,2024-12-14,4204.52,debit,Bank Transfer
233,2025-03-22,3831.0,credit,Wallet
2889,2024-03-13,7676.5,debit,Bank Transfer
1480,2024-03-11,912.46,debit,Bank Transfer
4586,2024-08-15,6753.52,credit,Cash
1931,2024-09-30,3758.92,credit,UPI
239,2023-11-17,3499.92,credit,Bank Transfer
2289,2024-06-08,5523.15,credit,Bank Transfer
762,2023-11-07,2020.78,debit,Cash
4229,2025-09-25,3367.95,credit,Wallet
1847,2024-11-13,3301.72,debit,Bank Transfer
4737,2024-07-18,4557.2,credit,Bank Transfer
2295,2024-04-21,3391.72,debit,UPI
4376,2025-01-30,8202.24,credit,Cash
1182,2023-12-05,8594.03,debit,UPI
3330,2024-06-28,956.01,credit,UPI
2335,2024-06-13,6088.65,debit,UPI
1904,2025-03-16,6717.33,credit,Bank Transfer
2136,2024-11-19,6085.97,debit,Cash
2026,2024-04-15,3683.77,debit,UPI
1383,2025-09-12,4511.81,debit,Bank Transfer
2844,2025-10-08,3503.45,debit,Cash
2383,2024-12-13,4159.47,credit,Bank Transfer
939,2024-12-24,2580.07,debit,Wallet
3723,2025-04-26,4770.42,credit,UPI
3688,2024-02-14,1994.4,debit,Cash
1180,2024-02-11,4599.73,credit,Wallet
3393,2024-08-05,2502.84,debit,Cash
4362,2024-01-29,5413.63,debit,UPI
2122,2024-09-24,3641.16,credit,UPI
4199,2025-05-07,5581.16,credit,Wallet
2279,2024-10-04,7163.16,debit,Wallet
2255,2024-11-30,8178.89,debit,Wallet
